days,distance,distance_reltorillemiddle,solar_angle,temperatures_0W,temperatures_10W,temperatures_20W,temperatures_30W,temperatures_40W,temperatures_50W
0.5,-270,-270,-90.0,-8.9,21.8,49.2,73.9,96.3,116.8
1.0,-270,-270,-83.89830508474576,0.5372881355932293,29.894915254237297,56.237288135593225,80.08305084745763,101.79152542372881,121.72203389830509
1.5,-270,-270,-77.79661016949153,9.974576271186438,37.989830508474576,63.27457627118643,86.26610169491525,107.28305084745762,126.64406779661017
2.0,-270,-270,-71.69491525423729,17.296610169491526,44.32203389830509,68.8135593220339,91.17118644067796,111.6728813559322,130.59661016949153
2.5,-270,-270,-65.59322033898306,22.828813559322025,49.16271186440677,73.08474576271186,94.99491525423728,115.13050847457626,133.72881355932202
3.0,-221,-221,-59.49152542372882,28.184745762711863,53.85084745762712,77.2271186440678,98.7,118.48305084745762,136.76610169491525
3.5,-170,-170,-53.389830508474574,31.601694915254235,56.86101694915254,79.95254237288135,101.10000000000001,120.67966101694915,138.75932203389831
4.0,-120,-120,-47.28813559322034,35.01864406779661,59.87118644067797,82.67796610169492,103.5,122.87627118644068,140.75254237288135
4.5,-22,-22,-41.186440677966104,37.46949152542373,62.04237288135593,84.61525423728814,105.23898305084747,124.46271186440678,142.1864406779661
5.0,27,27,-35.08474576271187,39.340677966101694,63.71016949152542,86.07966101694915,106.5813559322034,125.68305084745762,143.28474576271185
5.5,67,67,-28.983050847457633,41.00847457627118,65.19491525423729,87.38813559322034,107.7813559322034,126.7677966101695,144.26779661016948
6.0,111,111,-22.88135593220339,41.659322033898306,65.76440677966102,87.91694915254237,108.26949152542373,127.17457627118644,144.67457627118642
6.5,111,111,-16.77966101694915,42.31016949152542,66.33389830508474,88.4457627118644,108.75762711864408,127.5813559322034,145.08135593220337
7.0,111,111,-10.67796610169492,42.5,66.5,88.57118644067796,108.9,127.7,145.2
7.5,111,111,-4.576271186440678,42.5,66.5,88.53050847457627,108.9,127.7,145.2
8.0,111,111,-1.52542372881355,42.5,66.5,88.51016949152542,108.9,127.7,145.2
8.5,111,111,-7.627118644067792,42.5,66.5,88.55084745762711,108.9,127.7,145.2
9.0,161,161,-13.728813559322035,42.5,66.5,88.59152542372881,108.9,127.7,145.2
9.5,261,261,-19.830508474576263,41.98474576271187,66.04915254237288,88.18135593220339,108.5135593220339,127.37796610169492,144.8779661016949
10.0,360,360,-25.932203389830505,41.333898305084745,65.47966101694915,87.65254237288136,108.02542372881356,126.97118644067797,144.47118644067797
