"Simulation 1 x [R = 75m, d = 25m, Regolith = 2m]","Simulation 1 gcorr [R = 75m, d = 25m, Regolith = 2m]","Simulation 1 noise [R = 75m, d = 25m, Regolith = 2m]","Simulation 2 x [R = 75m, d = 30m, Regolith = 2m]","Simulation 2 gcorr [R = 75m, d = 30m, Regolith = 2m]","Simulation 2 noise [R = 75m, d = 30m, Regolith = 2m]","Simulation 3 x [R = 75m, d = 35m, Regolith = 2m]","Simulation 3 gcorr [R = 75m, d = 35m, Regolith = 2m]","Simulation 3 noise [R = 75m, d = 35m, Regolith = 2m]","Simulation 4 x [R = 75m, d = 40m, Regolith = 2m]","Simulation 4 gcorr [R = 75m, d = 40m, Regolith = 2m]","Simulation 4 noise [R = 75m, d = 40m, Regolith = 2m]","Simulation 5 x [R = 75m, d = 45m, Regolith = 2m]","Simulation 5 gcorr [R = 75m, d = 45m, Regolith = 2m]","Simulation 5 noise [R = 75m, d = 45m, Regolith = 2m]"
-1338.75,31.917185118908925,0.08653772243978308,-1338.75,31.893573345733692,-0.008463011396375711,-1338.75,31.893347012029817,0.002509060675486689,-1338.75,31.8931223659251,0.04548114627476103,-1338.75,31.8928994252628,-0.018532760436237274
-1333.75,31.951380449009072,-0.061363549340966175,-1333.75,31.927898809256217,-0.05403782537573807,-1333.75,31.927669807317194,-0.022386892618684855,-1333.75,31.92744250493179,-0.03561813696367134,-1333.75,31.927216920295372,0.11591380165064813
-1328.75,31.982555866326067,0.013818601358801391,-1328.75,31.959203176951398,0.01820460134802134,-1328.75,31.958971490885155,-0.03741043972439861,-1328.75,31.95874151652879,0.06748237500706458,-1328.75,31.95851327243589,-0.03172146646570811
-1323.75,32.01085352809593,-0.0967736474047099,-1323.75,31.987628676777103,0.039689453547158214,-1323.75,31.987394289642406,0.0015543357051990782,-1323.75,31.987161626575748,-0.005251739702199042,-1323.75,31.986930706495052,-0.1148397217262779
-1318.75,32.036409348744826,0.019146378067014958,-1318.75,32.01331128791383,-0.06615510659800433,-1318.75,32.01307418176884,0.03796813916889862,-1318.75,32.01283881225207,0.010486992311157961,-1318.75,32.01260519865243,0.0874123745413194
-1313.75,32.0593533087732,-0.13637600808197792,-1313.75,32.03638105018608,0.06495697355699191,-1313.75,32.03614120613121,0.02040359273446913,-1313.75,32.03590311146758,-0.007129331546032142,-1313.75,32.03566678586148,0.01981525018962453
-1308.75,32.07980973785546,0.05484265004193894,-1308.75,32.056962347646156,0.03444283697295935,-1308.75,32.05671974586226,0.07085090907127915,-1308.75,32.05647890643605,-0.02422895753635692,-1308.75,32.05623984941815,0.04484898022289818
-1303.75,32.09789757601462,-0.07200999232512002,-1303.75,32.07517417018616,-0.04149630408843902,-1303.75,32.0749287899678,0.015939908884303605,-1303.75,32.074685185278234,0.023333585688986004,-1303.75,32.07444337655937,-0.11612211957799662
-1298.75,32.113730616039376,0.028452593401152637,-1298.75,32.09113035635026,-0.006473580761329464,-1298.75,32.09088217613548,0.05135462209984196,-1298.75,32.090635784826326,-0.025484249791310472,-1298.75,32.09039120326342,0.06097396649905169
-1293.75,32.127417729744415,-0.045617568118540154,-1293.75,32.10493981995373,0.004892675008419419,-1293.75,32.10468881734963,-0.06324113020678983,-1293.75,32.10443961723549,-0.0007889898036643242,-1293.75,32.104192240857856,0.05565326081368736
-1288.75,32.1390630802147,0.05042203819705663,-1288.75,32.11670676265219,0.04163600910123911,-1288.75,32.1164529144577,0.02039967247316758,-1288.75,32.11620088254648,0.00785766387178921,-1288.75,32.1159506885788,0.031893547748064154
-1283.75,32.148766321794795,-0.06583559552445127,-1283.75,32.126530874226546,-0.007273971363513447,-1283.75,32.12627415645182,-0.03665653497847644,-1283.75,32.12601926896464,0.011094968228488692,-1283.75,32.125766233846875,0.025239935730125458
-1278.75,32.156622789275765,0.0011145928649699095,-1278.75,32.13450752203863,-0.026551579806945697,-1278.75,32.13424790992189,-0.0019500035373196491,-1278.75,32.1339901423101,-0.0399964409429191,-1278.75,32.13373424171471,-0.01779019242438411
-1273.75,32.16272367747827,-0.1001804747363386,-1273.75,32.14072793085893,-0.00612976890393053,-1273.75,32.1404653988808,-0.00933187820255712,-1273.75,32.140204725840356,0.13363346536497633,-1273.75,32.139945934687006,0.0018213675522429215
-1268.75,32.16715621222209,-0.13516256035806673,-1268.75,32.145279354059156,-0.0075711598930235345,-1268.75,32.145013875954774,-0.007164842241632204,-1268.75,32.14475027143856,0.05479220951803202,-1268.75,32.144488563906506,0.007059738447263019
-1263.75,32.170003813502156,0.02995536365445764,-1263.75,32.14824523699159,0.07160011574315393,-1263.75,32.147976785760385,-0.03406689015999897,-1263.75,32.14771022298834,-0.018329112355000465,-1263.75,32.14744557252673,-0.0075171134561004375
-1258.75,32.17134625155139,0.040365716752731505,-1258.75,32.14970537323748,0.03549024177518559,-1258.75,32.14943392115134,-0.03711050061827043,-1258.75,32.14916437261857,-0.0918263091786003,-1258.75,32.14889675195478,-0.09276845865509838
-1253.75,32.17125979635675,0.006027319123117606,-1253.75,32.14973605429237,0.04286438318352322,-1253.75,32.149461572901714,0.00977315726618436,-1253.75,32.149189010385,0.007567286062438005,-1253.75,32.148918391531254,-0.03503891860295797
-1248.75,32.16981736110148,-0.10628018562514407,-1248.75,32.14841021316321,-0.04520766131243525,-1248.75,32.14813267330182,-0.04784082983660934,-1248.75,32.147857067864216,-0.0034004384946547265,-1248.75,32.14758342212244,0.009578570206520547
-1243.75,32.16708863993183,-0.09795774300695417,-1243.75,32.14579756227647,-0.0343324196298999,-1243.75,32.14551693406434,0.0634357026254872,-1243.75,32.14523825605856,-0.10454608623935038,-1243.75,32.14496155402387,-0.03834026445260738
-1238.75,32.16314024038307,-0.015555605238179782,-1238.75,32.14196472603313,0.0963816246229128,-1238.75,32.141680978878234,0.014295398669382509,-1238.75,32.14139919794837,-0.009938360713601288,-1238.75,32.141119409510985,-0.04669812640265048
-1233.75,32.15803581075177,0.0758526067880752,-1233.75,32.13697536829947,-0.022228639861759714,-1233.75,32.13668847089808,-0.009656153182236515,-1233.75,32.13640355598012,-0.008032038076468892,-1233.75,32.136120650326056,0.045122004619843406
-1228.75,32.151836162660175,-0.11288310025490914,-1228.75,32.13089031507923,0.04105601061030224,-1228.75,32.130600235414995,0.0009825416620726942,-1228.75,32.13031215473613,-0.04061538200414075,-1228.75,32.13002610034659,0.03237069051124153
-1223.75,32.14459938902699,0.024228779431639078,-1223.75,32.12376767258334,0.009158362907441287,-1223.75,32.123474377925255,0.012355052318505602,-1223.75,32.12318309900185,0.062145460381797635,-1223.75,32.12289386365147,-0.0517454104958
-1218.75,32.13638097763149,-0.06230086988642139,-1218.75,32.11566294088439,-0.029764824738817083,-1218.75,32.11536639778361,-0.011257011479590927,-1218.75,32.11507188741838,-0.017587885195370453,-1218.75,32.11477943817243,0.00315516035340177
-1213.75,32.12723392043982,0.03403091213521133,-1213.75,32.1066291233257,0.09822053479699847,-1213.75,32.10632929761143,0.038165414018986946,-1213.75,32.106031521889314,0.07748645824452643,-1213.75,32.10573582509984,-0.07158694990938601
-1208.75,32.11720881884404,-0.06700969955814709,-1208.75,32.09671683183596,0.03780026091564497,-1208.75,32.09641368861026,0.031964445272785885,-1208.75,32.09611261289342,-0.07910791599953498,-1208.75,32.09581363419437,0.03772946844062705
-1203.75,32.10635398495224,-0.031682266469909286,-1203.75,32.085974388288584,-0.059468753444996636,-1203.75,32.08566789192031,-0.031907636516589344,-1203.75,32.085363480842275,-0.040841627635377804,-1203.75,32.085061185143815,-0.07708970707120444
-1198.75,32.094715539058605,-0.05056569368902353,-1198.75,32.074447922035226,-0.018469952393166785,-1198.75,32.07413803615313,0.004605156922785461,-1198.75,32.07383025361193,0.013067034695898717,-1198.75,32.07352460509378,0.034753288739683474
-1193.75,32.08233750341363,-0.022166307932168672,-1193.75,32.062181463733765,0.02537416010936887,-1193.75,32.06186815121861,-0.07753735153349456,-1193.75,32.061556960369224,-0.03696040876708767,-1193.75,32.06124792247316,-0.023043523730955567
-1188.75,32.06926189240849,-0.009425446272116049,-1188.75,32.04921703558588,-0.024345851430600904,-1188.75,32.048900258561936,-0.02758791752350493,-1188.75,32.04858562180781,0.04244285352247074,-1188.75,32.0482731572294,0.02461943362121778
-1183.75,32.05552879928395,-0.0770976453303504,-1183.75,32.03559473809426,0.03882542756766219,-1183.75,32.035274457919826,0.0255228851761518,-1183.75,32.03495633690364,0.024325116594911572,-1183.75,32.03464040758324,-0.02698133635780789
-1178.75,32.041176479467985,-0.023843107606557612,-1178.75,32.02135283344468,-0.002316532666064128,-1178.75,32.021029010702065,-0.042776314175032706,-1178.75,32.02070736629578,-0.06137604074784858,-1178.75,32.02038793340868,-0.015897070054385575
-1173.75,32.026241430646266,-0.03453473308403781,-1173.75,32.00652782561716,-0.011618117697239527,-1173.75,32.00620042010169,0.004869683393886208,-1173.75,32.005875212395814,0.012486419356001388,-1173.75,32.00555223634172,0.05053714617017657
-1168.75,32.01075846966523,0.02044044587180826,-1168.75,31.991154537325823,0.0118920709305014,-1168.75,31.99082350803434,-0.00016983992545781834,-1168.75,31.99049469632654,-0.09844932850279589,-1168.75,31.990168136718324,0.006729231678141024
-1163.75,31.99476080636487,0.12715746742155812,-1163.75,31.975266183885893,-0.03615472880577957,-1163.75,31.974931489004476,0.0291938066675169,-1163.75,31.974599031787484,0.03559308911659976,-1163.75,31.97426884743931,-0.009307832457016224
-1158.75,31.97828011443975,-0.04319924463822367,-1158.75,31.958894444105418,0.0038320590978358246,-1158.75,31.95855604099637,0.00820834779187718,-1158.75,31.95821989594518,0.07566066532459369,-1158.75,31.95788604485983,0.011088636886972566
-1153.75,31.96134659942105,0.07601234302516724,-1153.75,31.94206952829598,0.027749691125514286,-1153.75,31.941727373484238,0.02256997877770134,-1153.75,31.941387497442552,0.09623807707774629,-1153.75,31.941049936798183,0.04519906217206239
-1148.75,31.943989063874646,0.05721244876664236,-1148.75,31.924820243496185,-0.01725746929058387,-1148.75,31.92447429265497,-0.06114960518513383,-1148.75,31.92413064162119,0.04391395788427589,-1148.75,31.92378932775741,0.038700640014809794
-1143.75,31.926234969906417,0.011691345996352314,-1143.75,31.907174056000912,0.05168306459082368,-1143.75,31.906824263936798,-0.0259169215846092,-1143.75,31.90647679304926,-0.14175070743100188,-1143.75,31.906131681452536,0.05011397278374524
-1138.75,31.908110499065618,-0.04153511398588417,-1138.75,31.88915715128626,-0.07703664935234181,-1138.75,31.888803471923577,-0.029980978031333257,-1138.75,31.888452135444982,0.0023177941983745075,-1138.75,31.88810318073337,-0.04559079243249694
-1133.75,31.88964060973596,-0.08636684496576008,-1133.75,31.87079449141998,-0.06551754120725663,-1133.75,31.870436877784396,-0.008688076362400224,-1133.75,31.870081629085877,0.02204112255782477,-1133.75,31.86972878499317,-0.02676293206620772
-1128.75,31.87084909210128,-0.07301059969623559,-1128.75,31.85210987004549,-0.047516485071409445,-1128.75,31.851748274247267,-0.06467490299401889,-1128.75,31.851389065791498,0.019910339618666235,-1128.75,31.851032285150733,-0.017309886094203884
-1123.75,31.85175862077351,-0.0005470219551321421,-1123.75,31.83312596502581,-0.09441609513348291,-1123.75,31.832760338242075,-0.09165887505608179,-1123.75,31.832397121566004,-0.029618831702521532,-1123.75,31.83203635629223,-0.043146452824509005
-1118.75,31.832390805165524,0.026552118112308894,-1118.75,31.813864388831654,0.006382185348202201,-1118.75,31.813494681288162,0.0074697042578598,-1118.75,31.813127406984904,-0.07071204614575576,-1118.75,31.81276260805737,0.026688542730271932
-1113.75,31.812766237693992,0.07843706818748403,-1113.75,31.79434573675758,0.006571572097633306,-1113.75,31.793971897709817,-0.01730857366349783,-1113.75,31.793600515409903,0.022840403955674216,-1113.75,31.79323163285362,0.021979653299942614
-1108.75,31.792904539891612,-0.02966748183354305,-1108.75,31.774589633046652,0.1053405661697867,-1108.75,31.77421161076025,0.042783689742142667,-1108.75,31.773836069112377,-0.0617692811175261,-1108.75,31.773463051978897,-0.047033764014087875
-1103.75,31.772824406509343,-0.0029478335347888143,-1103.75,31.754614775004065,0.004002776239625936,-1103.75,31.754232516734433,-0.0031308894093620906,-1103.75,31.753852763385268,-0.02565931372815421,-1103.75,31.75347555973295,0.041248202154374955
-1098.75,31.752543647685638,-0.016004701743939906,-1098.75,31.73443897517627,-0.05310521482499887,-1098.75,31.734052427147756,0.024465773539475585,-1098.75,31.733668408721257,-0.031554199988714435,-1098.75,31.733286965594715,-0.013660312886977798
-1093.75,31.73207922925823,0.06491688748021054,-1093.75,31.71407920167225,-0.00701918410808266,-1093.75,31.713688309056277,-0.011099284042349914,-1093.75,31.71329997113227,0.015524525579861809,-1093.75,31.712914234541234,-0.0479455177358447
-1088.75,31.711447311291842,0.020222574594586765,-1088.75,31.69355161669933,-0.010579023701349255,-1088.75,31.693156323592238,-0.049239439507012164,-1088.75,31.692763610684167,-0.07106292920549816,-1088.75,31.69237352558157,0.004632434320013044
-1083.75,31.69066328489409,-0.005678813755201018,-1083.75,31.67287161338719,0.09249433853490413,-1083.75,31.672471862786843,-0.04949198697609542,-1083.75,31.67207471831905,-0.03596009653924241,-1083.75,31.671680228578428,-0.025998694826185165
-1078.75,31.669741807388345,0.01159587961012397,-1078.75,31.652053850966915,-0.02745807826947649,-1078.75,31.651649584749027,0.013623682996881659,-1078.75,31.65124795103307,-0.018862646277265527,-1078.75,31.650848999425264,-0.01376496821873109
-1073.75,31.64869683591128,0.0633974758413119,-1073.75,31.63111228837528,0.06204216397474058,-1073.75,31.630703447268676,0.006281105009528648,-1073.75,31.63029726547887,0.02130253514374751,-1073.75,31.62989379364796,0.013446072187672319
-1068.75,31.62754165950052,0.05927562475772226,-1068.75,31.610060216347602,-0.0011562904878524257,-1068.75,31.609646739908886,-0.0270825501588329,-1068.75,31.60923595005735,0.037165665664488,-1068.75,31.608827898495708,-0.0565423347595973
